Gene_name,Poor_M9_ATC5.rep1,Poor_M9_ATC5.rep2,Rich_LB_ATC12.rep1,Rich_LB_ATC12.rep2,Rich_M9_ATC5_1.rep1,Rich_M9_ATC5_1.rep2,Rich_M9_ATC5_2.rep1,Rich_M9_ATC5_2.rep2,Rich_M9_ATC5_CAM1.2.rep1,Rich_M9_ATC5_CAM1.2.rep2,Rich_M9_ATC5_NOX.rep1,Rich_M9_ATC5_NOX.rep2,Rich_M9_ATC5_PH5.rep1,Rich_M9_ATC5_PH5.rep2,Rich_M9_ATC5_TMP.rep1,Rich_M9_ATC5_TMP.rep2,Rich_M9_No_ATC_1.rep1,Rich_M9_No_ATC_1.rep2,Rich_M9_No_ATC_2.rep1,Rich_M9_No_ATC_2.rep2
preT,2.233,3.69,4.201,3.475,1.343,1.998,2.561,3.385,1.26,0.83,3.042,3.615,0.916,5.798,1.697,1.137,1.156,1.172,1.96,1.996
preA,4.104,6.752,6.895,6.865,2.553,4.333,3.914,6.765,0.792,1.751,5.536,6.648,2.347,6.979,2.681,2.306,2.652,2.837,3.623,2.369
mglC,44.249,43.35,98.875,110.494,1.966,0.375,0.412,0.721,4.345,3.665,0.932,1.25,1.747,123.629,5.011,4.569,1.921,1.193,3.602,3.057
mglA,51.513,51.897,67.251,84.105,1.225,0.498,0.513,0.24,2.731,2.757,0.228,0.65,2.032,92.636,3.038,2.219,0.447,0.499,2.696,2.802
mglB,187.688,179.339,170.775,192.745,5.595,2.2,1.198,1.147,9.139,9.26,1.439,1.21,5.43,208.673,10.015,8.068,3.84,2.056,5.59,6.318
galS,18.804,16.952,8.806,11.319,7.254,2.524,2.149,3.253,3.711,4.054,6.383,7.075,5.09,13.516,7.958,7.302,6.345,2.188,4.924,6.438
yeiB,103.483,97.29,22.416,17.459,53.524,27.113,21.853,19.772,32.906,31.278,39.096,45.446,63.51,30.419,50.767,49.512,46.97,25.301,32.684,42.564
folE,679.762,632.419,126.526,113.164,180.354,131.809,129.962,131.717,183.612,195.008,174.556,206.334,348.086,122.584,262.1,253.093,163.186,144.066,159.641,207.117
yeiG,85.283,88.846,15.355,11.551,64.108,43.578,41.016,43.755,44.072,45.18,34.717,38.217,58.402,14.672,60.91,63.647,61.444,44.982,52.341,63.901
cirA,964.752,777.073,5.273,6.85,357.738,23.307,28.358,23.772,1430.698,1488.22,151.475,121.457,143.057,5.391,837.505,850.457,275.145,20.38,926.87,1662.716
lysP,152.232,118.858,68.566,67.241,58.471,42.992,44.019,41.676,41.511,41.071,51.071,44.904,96.242,71.735,50.028,51.485,54.345,43.629,47.97,53.647
yeiE,42.877,52.372,35.046,32.256,95.988,18.443,18.4,23.685,28.442,21.959,28.729,27.169,38.688,39.402,31.213,29.568,95.696,16.71,33.705,43.673
yeiH,13.421,19.693,16.255,13.883,47.531,26.149,18.329,23.393,18.876,20.274,25.195,27.429,28.083,13.992,18.481,18.847,46.321,18.354,22.737,25.221
nfo,57.365,64.214,29.717,27.084,43.14,23.552,23.34,24.53,36.485,33.386,36.266,36.161,46.276,32.16,55.148,56.476,39.819,22.799,42.508,45.578
yeiI,31.127,31.8,18.655,19.651,30.682,16.445,17.864,17.198,23.084,20.666,21.492,18.447,28.38,22.119,35.638,29.995,27.872,14.334,30.246,31.309
nupX,1.516,1.02,0.589,0.121,0.874,0.323,0.624,0.375,0.761,0.476,1.268,0.747,0.958,0.437,0.917,0.838,0.815,0.607,1.078,0.52
rihB,0.762,0.395,0.391,0.214,0.158,0.268,0.221,0.111,0.169,0.115,0.211,0.467,0.134,0.158,0.947,0.556,0.309,0.047,0.401,0.138
yeiL,2.95,2.497,1.047,1.526,0.678,0.995,0.867,0.868,0.962,0.328,0.601,1.332,1.529,1.883,2.51,2.482,0.662,1.286,1.226,0.986
psuT,7.619,7.436,5.082,3.26,3.416,2.584,1.913,2.832,2.834,3.416,3.766,4.35,4.034,5.981,5.043,5.657,4.891,2.892,3.666,3.381
psuG,5.485,4.783,6.181,8.634,0.556,0.78,0.665,0.444,0.648,0.403,0.422,0.819,0.134,9.636,1.289,0.628,0.879,1.046,2.413,1.109
psuK,2.04,3.245,2.249,3.1,0.132,0.134,0.11,0.055,0.197,0.23,0.158,0.525,0.067,3.14,0.879,1.322,0.464,0.095,0.515,1.174
fruA,56.574,61.59,926.666,1002.057,117.147,37.65,20.321,31.189,39.38,33.077,33.337,33.247,29.431,1117.508,40.827,42.793,135.114,27.32,213.516,232.678
fruK,47.342,48.174,545.161,680.229,67.039,16.813,12.104,16.561,29.59,24.889,17.004,15.072,21.193,711.635,37.7,38.764,66.251,11.962,164.99,199.811
fruB,29.292,27.847,451.738,496.746,49.486,11.904,10.003,13.473,38.792,35.42,10.807,11.031,17.567,578.497,72.038,65.671,48.113,6.456,167.13,193.822
setB,4.249,2.653,3.235,2.258,9.037,2.821,4.181,2.733,3.089,2.929,4.95,4.882,7.204,2.986,6.685,6.652,8.628,3.401,9.22,6.165
yeiP,133.609,118.092,211.999,200.184,101.709,175.978,168.03,164.468,188.512,216.02,176.108,179.178,169.298,244.075,181.394,175.765,91.703,155.576,151.596,144.329
